Name,Federation,FideID,B_Year,Gender,Title
"Doval, Oscar ",Argentina,109630,1935,Male,None
"Sosa, Ruben ",Argentina,109703,1947,Male,None
"Sotelo Rojas, Ruben ",Argentina,109711,1940,Male,None
"Perdomo, Leandro ",Argentina,109746,1985,Male,International Master
"Caro, Esteban ",Argentina,109770,1976,Male,None
"Jimenez, Joaquin ",Argentina,109860,1976,Male,Candidate Master
"Lujan, Carolina ",Argentina,109878,1985,Female,International Master Woman Grandmaster
"Hatrick, Jonathan ",Argentina,109908,1986,Male,None
"Dimitriu, Cristian ",Argentina,109932, ,Male,None
"Negri, Santiago ",Argentina,109940,1980,Male,None
"Garcia Palermo, Carlos Horacio ",Italy,110124,1953,Male,Grandmaster
"Pierucci, Fabian ",Argentina,110248,1964,Male,None
"Lopez, Jose Luis ",Argentina,110299,1980,Male,None
"Acosta, Pablo Alejandro ",Argentina,110418,1982,Male,None
"Sapienza, Julian ",Argentina,110434,1974,Male,Candidate Master
"Fiori, Alberto Nicolas ",Argentina,110477,1982,Male,Candidate Master
"Fiori, Hector ",Argentina,110485,1982,Male,Candidate Master
"Fidel, Roberto Oscar ",Argentina,110507,1961,Male,None
"Medina, Sergio ",Argentina,110558,1959,Male,None
"Barrionuevo, Pablo ",Argentina,110566,1983,Male,International Master
"Duarte, Leonardo ",Argentina,110582,1987,Male,International Master
"Mazza, Guillermo ",Argentina,110639,1969,Male,None
"Monlezun, Gabriel ",Argentina,110710, ,Male,None
"Oliva, Pablo ",Argentina,110825,1977,Male,None
"Claverie, Raul ",Argentina,110833,1983,Male,International Master
"Pascual, Diego ",Argentina,110876,1987,Male,None
"Martin, Luis Jacinto ",Argentina,110914, ,Male,None
"Pichot, Alan ",Spain,110973,1998,Male,Grandmaster
"Quenallata, Luciano ",Argentina,111074,1994,Male,None
"Ovejero, Juan Manuel ",Argentina,111112,1985,Male,None
"Di Benedetto, Guillermo ",Argentina,111120,1984,Male,FIDE Master
"Ferro, Ezequiel ",Argentina,111139, ,Male,None
"Barrientos Medina, Juan Carlos ",Argentina,111155,1975,Male,None
"Falcinelli, Oscar ",Argentina,111279, ,Male,None
"Meza, Anahi ",Argentina,111325,1985,Female,Woman FIDE Master
"Di Diego, Osvaldo ",Argentina,111368,1935,Male,None
"Bentancor, Franco ",Argentina,111406,1976,Male,FIDE Master
"Roman, Maximiliano ",Argentina,111457, ,Male,None
"Romano, Guillermo ",Argentina,111473,1971,Male,None
"Rueda, Joaquin ",Argentina,111490,1987,Male,None
"Diaz, Diego ",Argentina,111511,1985,Male,None
"Hoffmann, Emiliano ",Argentina,111600, ,Male,None
"Bitelmajer, Martin ",Argentina,111651,1988,Male,International Master
"Santopietro, Gerardo ",Argentina,111678,1986,Male,None
"Obregon, Andres Carlos ",Argentina,111724,1986,Male,Grandmaster
"Leeuw, Pablo ",Argentina,111759, ,Male,None
"Carraro, Denise ",Argentina,111791,1988,Female,Woman Intl. Master
"Sarquis, Maria Belen ",Argentina,111805,1988,Female,Woman Intl. Master
"Perez Wertheim, Rodolfo ",Argentina,111880,1962,Male,None
"Nejanky, Maisa ",Argentina,111899,1985,Female,Woman FIDE Master
"Maucci, Marcelo ",Argentina,111996,1953,Male,None
"Herrera, Carla ",Argentina,112020, ,Female,None
"Cabrera Pando, Ramiro ",Argentina,112062,1985,Male,Candidate Master
"Chadwick, Norman ",Argentina,112070,1984,Male,None
"Koch, Juan ",Argentina,112143,1959,Male,None
"Lalanne, Pablo ",Argentina,112151,1973,Male,Candidate Master
"Longoni, Diego ",Argentina,112160, ,Male,None
Lupi Pablo Cesar ,Argentina,112178,1985,Male,None
"Mareco, Sandro ",Argentina,112275,1987,Male,Grandmaster
"Tunez, Adrian ",Argentina,112348,1985,Male,None
"Gatti, Juan Manuel ",Argentina,112445,1984,Male,None
"Beredjiklian, Mariano ",Argentina,112461,1973,Male,None
"Ianovsky, Matias Manuel ",Argentina,112470,1987,Male,Candidate Master
"Manzone, Alessandro ",Argentina,112488,1987,Male,FIDE Master
"Varela, Daniel ",Argentina,112534,1964,Male,None
"Gomez, Daniel ",Argentina,112569,1977,Male,None
"Vincent, Damian ",Argentina,112615,1988,Male,None
"Galarce, Ruben ",Argentina,112690,1963,Male,None
"Zeta, Rodrigo ",Argentina,112810,1966,Male,None
"Lopez Rebert, Pablo ",Argentina,112828,1946,Male,None
"Cristobal, Manuel ",Argentina,112879,1990,Male,FIDE Master
"Spata, German ",Argentina,113026,1987,Male,FIDE Master
"Toniutti, Ezio ",Argentina,113034,1987,Male,FIDE Master
"Mackeprang, Luis ",Argentina,113069, ,Male,None
"Cejas, Jose ",Argentina,113115,1984,Male,FIDE Master
"Conde, Adrian ",Argentina,113123,1985,Male,None
"Klobouk, Abel ",Argentina,113158,1961,Male,None
Rodriguez. Julio ,Argentina,113174, ,Male,None
"Antonio, Jorge Carlos ",Argentina,113190,1968,Male,FIDE Master
"Pacheco, Juan ",Argentina,113220,1974,Male,None
"Ponti, Enrique ",Argentina,113239, ,Male,None
"Godoy, Luciano ",Argentina,113301,1988,Male,None
"Plazaola, Maria De Los Angeles ",Argentina,113395,1986,Female,Woman Intl. Master
"Villanueva, Mario ",Argentina,113433,1984,Male,International Master
"Aguilar, Andres ",Argentina,113514,1985,Male,FIDE Master
"Della Morte, German ",Argentina,113522,1989,Male,International Master
"Lemos, Damian ",Argentina,113581,1990,Male,Grandmaster
"Rivas, Lucas ",Argentina,113620,1985,Male,None
"Hernandez Amura, Gilberto ",Argentina,113646,1998,Male,Candidate Master
"Pereyra, Horacio ",Argentina,113700, ,Male,None
"Romano, Julieta ",Argentina,113727, ,Female,None
"Tristan, Leonardo ",Argentina,113816,1989,Male,Grandmaster
"Lopez Miller, Indalecio ",Argentina,113859,1997,Male,None
"Couso, Juan Jose ",Argentina,113905, ,Male,None
"Ortiz, Jorge ",Argentina,113972,1963,Male,None
"Herrera, Martin ",Argentina,114073,1984,Male,None
"Randazzo, Adrian ",Italy,114251,1973,Male,FIDE Master
"Cuevas, Alex ",Argentina,114260,1990,Male,FIDE Master
"Iermito, Sebastian Dario ",Italy,114286,1993,Male,International Master
"Garnier, Rene ",Argentina,114324,1987,Male,None
"Plazaola, Sebastian ",Argentina,114375, ,Male,None
"Leguizamon, Arnaldo ",Argentina,114510,1980,Male,None
"Sanduay, Nicolas ",Argentina,114545,1987,Male,None
"Ronco, Raul ",Argentina,114596,1955,Male,None
"Gomez, Carlos David ",Argentina,114669,1990,Male,FIDE Master
"Lopez, Diego ",Argentina,114677,1978,Male,None
"Mayorga, Nicolas ",Argentina,114685,1992,Male,FIDE Master
"Varela, Malco Sayin ",Argentina,114731, ,Male,None
"Blit, Jacques ",Argentina,114839,1990,Male,International Master
"Andretta, Carlos ",Argentina,114863, ,Male,None
